SEMANA,PRODUCTO,PRESENTACION,"PRESENTACION 1",Cantidad,"PRESENTACION 1_extracted","Tipo Unidad",LUNES,MARTES,MIERCOLES,JUEVES,VIERNES
"16 al 20 de Mayo",Brocoli,Docena,"36 und","36 "," und"," und","$   80,000","$   80,000","$   80,000","$   80,000","$   80,000"
"16 al 20 de Mayo",Coliflor,Docena,"12 und","12 "," und"," und","$   35,000","$   24,000","$   24,000","$   20,000","$   20,000"
"16 al 20 de Mayo",Apio,Atado,"12 und","12 "," und"," und","$   15,000","$   16,000","$   16,000","$   12,000","$   14,000"
"16 al 20 de Mayo","Perejil Liso",Atado,"6 kg","6 "," kg"," kg","$   10,000","$   12,000","$   10,000","$   10,000","$   10,000"
"16 al 20 de Mayo",Mazorca,Bulto,"50 KG","50 "," KG"," KG","$   85,000","$   120,000","$   145,000","$   145,000","$   150,000"
"16 al 20 de Mayo","Papa Pastusa",Bulto,"50 KG","50 "," KG"," KG","$   80,000","$   80,000","$   70,000","$   70,000","$   70,000"
"16 al 20 de Mayo","Papa Criolla",Bulto,"50 KG","50 "," KG"," KG","$   120,000","$   110,000","$   110,000","$   120,000","$   110,000"
"16 al 20 de Mayo",Zanahoria,Bulto,"50 KG","50 "," KG"," KG","$   145,000","$   165,000","$   200,000","$   215,000","$   200,000"
"16 al 20 de Mayo",Remolacha,Bulto,"50 KG","50 "," KG"," KG","$   65,000","$   80,000","$   55,000","$   55,000","$   60,000"
"23 al 27 de Mayo",Espinaca,Docena,"12 und","12 "," und"," und","$   48,000","$   48,000","$   38,000","$   38,000","$   34,000"
"23 al 27 de Mayo",Cilantro,Atado,"9 kg","9 "," kg"," kg","$   58,000","$   68,000","$   58,000","$   58,000","$   48,000"
"23 al 27 de Mayo","Perejil Crespo",Atado,"5 kg","5 "," kg"," kg","$   12,000","$   12,000","$   10,000","$   11,000","$   12,000"
"23 al 27 de Mayo",Acelga,Atado,"6 kg","6 "," kg"," kg","$   18,000","$   18,000","$   18,000","$   18,000","$   18,000"
"23 al 27 de Mayo","Lechuga Batavia",Docena,"12 und","12 "," und"," und","$   26,000","$   28,000","$   26,000","$   28,000","$   28,000"
"23 al 27 de Mayo","Rabano Rojo",Docena,"12 atados ( 4 kg )","12 ",,atado,"$   25,000","$   28,000","$   23,000","$   23,000","$   28,000"
"23 al 27 de Mayo",Brocoli,Docena,"36 und","36 "," und"," und","$   80,000","$   78,000","$   58,000","$   58,000","$   58,000"
"23 al 27 de Mayo",Coliflor,Docena,"12 und","12 "," und"," und","$   28,000","$   28,000","$   28,000","$   28,000","$   34,000"
"23 al 27 de Mayo",Apio,Atado,"12 und","12 "," und"," und","$   15,000","$   14,000","$   14,000","$   12,000","$   14,000"
"23 al 27 de Mayo","Perejil Liso",Atado,"6 kg","6 "," kg"," kg","$   10,000","$   12,000","$   10,000","$   10,000","$   10,000"
"23 al 27 de Mayo",Mazorca,Bulto,"50 KG","50 "," KG"," KG","$   125,000","$   125,000","$   105,000","$   105,000","$   95,000"
"23 al 27 de Mayo","Papa Pastusa",Bulto,"50 KG","50 "," KG"," KG","$   68,000","$   68,000","$   68,000","$   68,000","$   68,000"
"23 al 27 de Mayo","Papa Criolla",Bulto,"50 KG","50 "," KG"," KG","$   105,000","$   95,000","$   95,000","$   95,000","$   95,000"
"23 al 27 de Mayo",Zanahoria,Bulto,"50 KG","50 "," KG"," KG","$   145,000","$   145,000","$   165,000","$   155,000","$   155,000"
"23 al 27 de Mayo",Remolacha,Bulto,"50 KG","50 "," KG"," KG","$   60,000","$   45,000","$   55,000","$   55,000","$   60,000"
